Building Name,Street Address,Unit,City,State,Zip Code
Sunset Apartments,123 Sunset Blvd,101,Seattle,Washington,98101
Sunset Apartments,123 Sunset Blvd,102,Seattle,Washington,98101
Sunset Apartments,123 Sunset Blvd,101,Seattle,Washington,98101
4230 Main St.,4230 Main St.,1A,Seattle,Washington,98105
,500 Oak St,2B,Seattle,Washington,98102
Pine Crest,569 Pine Dr.,,Seattle,Washington,19345
Maple House,,3C,Seattle,Washington,98103
Hilltop Manor,777 Hilltop Rd,4D,,Washington,98104
River View,888 River Rd,5E,Seattle,,98106
Ocean Breeze,999 Ocean Ave,6F,Seattle,Washington,
Forest Lodge,222 Forest Ln,7G,Seattle,Washington,98107
Skyline Towers,100 Skyline Dr,8H,Seattle,Washington,98108
mIsTiC rIdGe,321 Mystic Rd,9I,SeAttLe,waShInGtOn,98109
Sunset Apartments,123 Sunset Blvd,103,Seattle,Washington,98101
sunset apartments,123 sunset blvd,104,seattle,washington,98101
Cedar Grove,444 Cedar Grove Way,10J,Port Orchard,Washington,98366
1010 Flats,1010 5th Ave,11K,Seattle,Washington,98121
Harbor Point,222 Harbor St,12-L,Seattle,Washington,98122
The Residences at Evergreen Park,777 Evergreen Pkwy,13M,Seattle,Washington,98123
North Shore,12 Bay Rd,14N,Boston,Massachusetts,02110
